Time [min],Droplet Count [0.3um],Droplet Count [0.5um],Droplet Count [1.0um]
0.1,4683,1068,182
0.2,4523,1004,156
0.3,4474,1034,158
0.4,4136,907,167
0.5,3932,846,133
0.6,3634,751,120
0.7,3518,742,122
0.8,3447,708,118
0.9,3256,716,119
1,3222,659,123
1.1,3090,623,111
1.2,3196,635,105
1.3,3046,584,113
1.4,2987,596,90
1.5,2861,570,86
1.6,2973,580,95
1.7,2962,515,75
1.8,2866,550,97
1.9,2839,501,86
2,2784,508,75
2.1,2778,502,76
2.2,2801,537,86
2.3,2836,513,84
2.4,2799,486,86
2.5,2760,512,96
2.6,2814,457,81
2.7,2657,494,80
2.8,2690,468,94
2.9,2653,465,70
3,2609,453,74
3.1,2621,441,74
3.2,2580,424,60
3.3,2510,420,61
3.4,2549,412,70
3.5,2556,406,60
3.6,2584,437,72
3.7,2546,473,72
3.8,2541,449,62
3.9,2437,410,72
4,2505,443,78
4.1,2478,426,75
4.2,2484,446,69
4.3,2472,427,74
4.4,2437,396,62
4.5,2415,397,63
4.6,2561,397,78
4.7,2549,450,83
4.8,2512,418,67
4.9,2456,418,92
5,90444,89549,78490
5.1,154405,152877,112790
5.2,174851,173120,150652
5.3,133170,131852,75067
5.4,161219,159623,129997
5.5,145731,144289,94228
5.6,121359,120158,58932
5.7,76261,60549,16777
5.8,72145,53111,14467
5.9,92797,84737,25556
6,94173,87869,26334
6.1,99535,97917,31550
6.2,104929,103891,36607
6.3,120272,119082,50009
6.4,121898,120692,52354
6.5,128224,126955,59931
6.6,137387,136027,73229
6.7,140003,138617,80318
6.8,143589,142168,86044
6.9,146050,144604,91636
7,146984,145529,93236
7.1,149364,147886,100006
7.2,149066,147591,97701
7.3,149469,147990,97730
7.4,150282,148795,100198
7.5,151908,150404,105021
7.6,152510,151000,106489
7.7,154162,152636,107704
7.8,153033,151518,106579
7.9,150629,149138,101523
8,148425,146956,97678
8.1,149661,148180,99244
8.2,151000,149505,101486
8.3,150938,149444,101635
8.4,151815,150312,105626
8.5,153467,151948,106932
8.6,154194,152668,109115
8.7,153348,151830,107610
8.8,153283,151766,106756
8.9,153853,152330,108266
9,153011,151497,106366
9.1,153195,151679,106378
9.2,152432,150923,106319
9.3,149735,148253,100367
9.4,147454,145995,95176
9.5,146785,145332,93831
9.6,144538,143107,87728
9.7,144759,143326,89430
9.8,145423,143984,89377
9.9,143577,142156,87348
10,140599,139207,80892
10.1,134282,132953,70704
10.2,135245,133906,71383
10.3,137515,136154,75823
10.4,139972,138587,80744
10.5,138901,137526,78524
10.6,137620,136258,74278
10.7,135387,134047,71760
10.8,132430,131119,65839
10.9,130653,129360,63311
11,131496,130195,65331
11.1,131517,130215,65134
11.2,128799,127524,61216
11.3,124043,122815,54732
11.4,121565,120362,51513
11.5,123710,122486,53147
11.6,126440,125189,57980
11.7,128994,127717,61503
11.8,129132,127854,61685
11.9,121548,120345,51009
12,115247,114106,45088
12.1,110407,109314,41039
12.2,111306,110204,41147
12.3,114953,113815,44523
12.4,117458,116296,47479
12.5,110884,109787,41299
12.6,111670,110565,41776
12.7,105716,104670,37256
12.8,112565,111451,42410
12.9,110109,109019,40336
13,106317,105265,37097
13.1,109093,108013,39133
13.2,111172,110072,41021
13.3,109885,108798,39865
13.4,109148,108068,39481
13.5,109663,108578,40237
13.6,102892,101874,35060
13.7,99292,98309,32393
13.8,98712,96958,31228
13.9,100054,99064,33003
14,102099,101089,34085
14.1,97105,95897,31184
14.2,94786,90849,28370
14.3,94969,91333,28895
14.4,95225,89522,27704
14.5,96081,93090,30036
14.6,94787,89428,27164
14.7,94066,87695,26431
14.8,93125,87135,26319
14.9,91188,83392,24397
15,88610,77045,21654
15.1,86433,72885,20009
15.2,86302,71643,19363
15.3,86553,72723,19853
15.4,87490,74455,20382
15.5,90056,79682,22534
15.6,89696,79333,22376
15.7,89005,78769,22265
15.8,89882,79033,22412
15.9,87797,74978,20583
16,86087,72419,19750
16.1,85329,71165,19030
16.2,83174,66311,17075
16.3,83465,66604,17100
16.4,81828,63527,15859
16.5,85483,70103,18748
16.6,87164,73617,19875
16.7,82623,66347,17330
16.8,78237,57110,13677
16.9,78923,58553,14205
17,80300,60528,14940
17.1,85461,70738,19016
17.2,84913,69583,18135
17.3,84541,69017,17992
17.4,80250,61462,15330
17.5,81490,63201,15612
17.6,80866,61883,14999
17.7,83072,65196,16541
17.8,81890,63806,16023
17.9,80118,60628,14649
18,80323,60507,14961
18.1,78484,58385,13965
18.2,81269,61138,14715
18.3,79590,60346,14587
18.4,76617,53766,12516
18.5,72305,47237,10342
18.6,67802,40982,8942
18.7,67839,40934,8968
18.8,67420,40890,8937
18.9,66967,40111,8625
19,68788,42775,9663
19.1,70238,45541,10216
19.2,69543,43867,9603
19.3,66975,40682,8584
19.4,67791,40734,8724
19.5,67956,41833,9281
19.6,66964,39729,8492
19.7,65638,38686,8392
19.8,63510,35658,7495
19.9,62048,33815,7131
20,61841,33397,6971
20.1,63128,35402,7420
20.2,61593,33666,6847
20.3,57104,28745,5709
20.4,53520,25776,4874
20.5,53849,25770,4886
20.6,54541,26373,5162
20.7,58209,29209,5663
20.8,57475,29326,5855
20.9,57369,28467,5422
21,57267,28761,5623
21.1,56971,28334,5463
21.2,53938,25299,4679
21.3,51521,23722,4586
21.4,51251,23095,4298
21.5,53745,25245,4887
21.6,55996,27531,5169
21.7,53032,24760,4662
21.8,51560,23794,4410
21.9,51409,23594,4440
22,50702,22843,4285
22.1,51132,22977,4343
22.2,51467,23526,4426
22.3,52109,24355,4642
22.4,57760,29123,5713
22.5,51742,24112,4828
22.6,45902,19508,3544
22.7,45063,18973,3547
22.8,44924,18964,3460
22.9,46701,19842,3681
23,45448,19187,3566
23.1,43715,18080,3352
23.2,44263,18033,3321
23.3,44972,19009,3679
23.4,44399,18288,3299
23.5,41017,16249,2946
23.6,40663,16173,2923
23.7,40500,15859,2895
23.8,39789,15707,2896
23.9,39473,15681,2944
24,38308,14989,2861
24.1,36907,14124,2671
24.2,38310,14981,2827
24.3,39308,15330,2813
24.4,39856,15777,3000
24.5,40322,16224,3057
24.6,38056,14905,2928
24.7,37112,14330,2762
24.8,34989,12828,2390
24.9,33822,12245,2144
25,34325,12675,2362
25.1,36143,13590,2520
25.2,36843,14064,2630
25.3,34094,12452,2432
25.4,30448,10728,1998
25.5,29858,10490,1843
25.6,34816,12771,2348
25.7,39398,15501,2729
25.8,34228,12647,2198
25.9,32086,11419,2049
26,30058,10374,1786
26.1,28424,9660,1737
26.2,27417,9148,1691
26.3,27301,9314,1598
26.4,25652,8708,1558
26.5,24905,8018,1424
26.6,24388,8155,1450
26.7,25754,8461,1452
26.8,28574,10011,1799
26.9,27983,9526,1719
27,28788,9913,1812
27.1,26753,9084,1607
27.2,23745,7801,1314
27.3,23723,7681,1331
27.4,22477,7269,1234
27.5,21381,6764,1214
27.6,21639,6926,1232
27.7,22673,7278,1224
27.8,23604,7602,1376
27.9,22350,7151,1257
28,21609,7001,1161
28.1,21004,6513,1147
28.2,19927,6172,1148
28.3,20584,6342,1010
28.4,21626,6849,1141
28.5,21027,6665,1152
28.6,20031,6367,1151
28.7,19732,6247,1022
28.8,19852,6061,972
28.9,18346,5577,950
29,16957,5014,843
29.1,17216,5314,941
29.2,18722,5720,977
29.3,19702,6102,1058
29.4,18726,5887,1021
29.5,17765,5428,971
29.6,18003,5426,921
29.7,19556,5992,1024
29.8,20326,6381,1046
29.9,19179,5926,1006
30,17593,5375,887
30.1,17261,5161,856
30.2,16820,4958,814
30.3,15972,4775,797
30.4,16522,5028,829
30.5,17134,5280,881
30.6,18385,5605,951
30.7,18753,5831,1040
30.8,18295,5672,1024
30.9,18093,5482,933
31,15521,4669,797
31.1,13151,3757,608
31.2,12793,3565,578
31.3,13081,3703,592
31.4,12475,3578,593
31.5,12373,3516,570
31.6,12078,3245,539
31.7,11956,3357,575
31.8,11935,3368,597
31.9,11637,3169,531
32,11571,3312,569
32.1,11012,2977,508
32.2,11158,3062,518
32.3,11273,3085,491
32.4,10985,2983,499
32.5,10925,2931,443
32.6,11051,3004,476
32.7,11209,3015,508
32.8,11315,3046,497
32.9,11490,3155,500
33,11454,3081,512
33.1,11037,2981,482
33.2,10715,2815,458
33.3,10839,2878,484
33.4,11115,3000,479
33.5,11397,3244,558
33.6,10542,2801,441
33.7,10333,2799,436
33.8,10593,2861,472
33.9,11023,3033,498
34,11148,2983,530
34.1,10400,2773,439
34.2,9977,2712,436
34.3,9749,2588,456
34.4,9811,2583,375
34.5,9861,2635,435
34.6,9670,2598,424
34.7,9615,2601,451
34.8,9601,2551,426
34.9,9400,2583,425
35,9114,2450,417
